"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Genes","Sig","Labl"
"Uroc1",8.87902426620349,-1.55171873738374,0.379415910657773,2.13622851464028e-06,5.85656576403844e-05,"Uroc1","Yes","Uroc1"
"Arl3",722.606997090246,0.304774130447762,0.0680198476142982,2.18756452717636e-06,5.98933059175984e-05,"Arl3","Yes","Arl3"
"Pi4k2a",2105.82439301185,-0.27550228676236,0.0609899322801085,2.21934735863506e-06,6.06827925191731e-05,"Pi4k2a","Yes","Pi4k2a"
"Iqgap1",3385.98866313618,-0.307116978072837,0.0685853243294867,2.2248582863059e-06,6.07527947702283e-05,"Iqgap1","Yes","Iqgap1"
"Abl1",1787.14050064716,-0.348612781500495,0.0785086086228547,2.23889032645378e-06,6.10205475476163e-05,"Abl1","Yes","Abl1"
"Fras1",8.51603551466709,-2.70309716980404,0.706849160691281,2.2405912839865e-06,6.10205475476163e-05,"Fras1","Yes","Fras1"
"Gm37090",66.242094936627,0.590995244589534,0.139572679143821,2.26063848116288e-06,6.14851858502807e-05,"Gm37090","Yes","Gm37090"
"Zswim4",466.76954067542,-0.374605517308127,0.0854222653860664,2.27773502301386e-06,6.18684517003065e-05,"Zswim4","Yes","Zswim4"
"Gm21738",2.32058048964449,4.26344650648747,1.22707482995533,2.29212074861908e-06,6.20630453082345e-05,"Gm21738","Yes","Gm21738"
"Rps6",7627.87675774415,0.316234859446569,0.0709309329819769,2.29001724875029e-06,6.20630453082345e-05,"Rps6","Yes","Rps6"
"Tmem11",1134.9516439991,0.28019440632771,0.0623242535735571,2.29394227400876e-06,6.20630453082345e-05,"Tmem11","Yes","Tmem11"
"Wdfy3",1930.48299864881,-0.302584342315303,0.0669119442386212,2.32008141004478e-06,6.26878689651077e-05,"Wdfy3","Yes","Wdfy3"
"Gm17344",17.5915934275021,1.28911876309745,0.319647098959541,2.32847883166802e-06,6.27500663157237e-05,"Gm17344","Yes","Gm17344"
"Rras",3139.95001540967,0.294870130690547,0.0660163808547267,2.32580487699424e-06,6.27500663157237e-05,"Rras","Yes","Rras"
"Egr3",188.151023195099,-0.973522193923126,0.238376245876053,2.34258504540517e-06,6.30476908494733e-05,"Egr3","Yes","Egr3"
"Dbt",4223.17262052489,0.281134257040544,0.0624790829964849,2.35293017771835e-06,6.32434457298213e-05,"Dbt","Yes","Dbt"
"Papss2",1962.7502804857,0.440580912852337,0.102328894609321,2.35749045919494e-06,6.32834042560165e-05,"Papss2","Yes","Papss2"
"Pla2g6",2119.03106627095,-0.338831949830089,0.0768984633543137,2.38593509800078e-06,6.39635647561692e-05,"Pla2g6","Yes","Pla2g6"
"Prmt1",1564.53834284664,0.207921473025238,0.0453219450439867,2.41494187463785e-06,6.46570068360451e-05,"Prmt1","Yes","Prmt1"
"Elmod2",2026.85127251916,-0.305686004035397,0.0695533650231952,2.41866661464088e-06,6.46674755490881e-05,"Elmod2","Yes","Elmod2"
"Gm47445",42.9512956428883,-0.911855589228883,0.224583007944337,2.42161463151911e-06,6.46674755490881e-05,"Gm47445","Yes","Gm47445"
"Gm36860",973.576921531463,0.709434849225501,0.172161810248774,2.43144258058927e-06,6.47103657441442e-05,"Gm36860","Yes","Gm36860"
"Hibch",6033.03401940733,0.298980529676379,0.0667114747538584,2.43579258107299e-06,6.47103657441442e-05,"Hibch","Yes","Hibch"
"Id1",591.111501330127,1.20935243179018,0.320793486735809,2.43324809986891e-06,6.47103657441442e-05,"Id1","Yes","Id1"
"Mosmo",721.380976137292,0.303290132295019,0.0681498588368502,2.42745816756788e-06,6.47103657441442e-05,"Mosmo","Yes","Mosmo"
"Asb6",533.760390829122,-0.363431088652452,0.0830560124652626,2.45027834524644e-06,6.49276458819548e-05,"Asb6","Yes","Asb6"
"Pqlc3",1342.5498799923,-0.655224584325975,0.158731433072622,2.45002181852117e-06,6.49276458819548e-05,"Pqlc3","Yes","Pqlc3"
"Smim10l2a",13.8216255171544,1.7657068756015,0.440378641062082,2.47524403926198e-06,6.550488370741e-05,"Smim10l2a","Yes","Smim10l2a"
"Eif1b",624.85319447706,0.241511719379779,0.0543839397600039,2.48171867042268e-06,6.55919200325194e-05,"Eif1b","Yes","Eif1b"
"Gm39323",10.1046068835054,-1.47570267516434,0.380866004331518,2.4920453041939e-06,6.57804112410875e-05,"Gm39323","Yes","Gm39323"
"Zfp975",114.258529187594,0.486419860251487,0.114259127246768,2.53597696249668e-06,6.6854327376241e-05,"Zfp975","Yes","Zfp975"
"Nt5e",111.947324671502,0.948879698121399,0.241850414337349,2.55428121477652e-06,6.7164873475139e-05,"Nt5e","Yes","Nt5e"
"Tcea2",82.4449259105167,0.557792204086708,0.132361696952664,2.55215663620443e-06,6.7164873475139e-05,"Tcea2","Yes","Tcea2"
"Mtss2",2670.51346035732,-0.821061589810964,0.204472638485405,2.56166263565055e-06,6.72730510273077e-05,"Mtss2","Yes","Mtss2"
"Nupr1l",66.633126935095,0.837213291648729,0.207011744035166,2.56704924745171e-06,6.73286330646921e-05,"Nupr1l","Yes","Nupr1l"
"Rps7",5639.33577356481,0.258602876716767,0.0575580641873552,2.62337674745089e-06,6.87184527395246e-05,"Rps7","Yes","Rps7"
"Pdcd2",336.398406230075,0.280735146542247,0.062894578742521,2.63114460181533e-06,6.88343535028917e-05,"Pdcd2","Yes","Pdcd2"
"Pid1",1383.98973550614,0.798146760716857,0.195718444275215,2.64624705856614e-06,6.91415998589064e-05,"Pid1","Yes","Pid1"
"Oit3",9.87479275310093,-2.24878112535814,0.584430995576737,2.65789639344883e-06,6.92701630945796e-05,"Oit3","Yes","Oit3"
"Olfr769",34.4808206134293,0.747635459061854,0.180699473262781,2.65658461033378e-06,6.92701630945796e-05,"Olfr769","Yes","Olfr769"
"Ddb2",283.317858739208,0.394654245606159,0.0915721053137019,2.67109464498086e-06,6.9502699197556e-05,"Ddb2","Yes","Ddb2"
"Erap1",2248.45925723095,0.500787002274941,0.119216654844615,2.67357024452204e-06,6.9502699197556e-05,"Erap1","Yes","Erap1"
"2310022B05Rik",1252.81185472354,-0.293088108069092,0.0660502327932412,2.71952503865496e-06,7.05365829328413e-05,"2310022B05Rik","Yes","2310022B05Rik"
"Zscan12",284.528668886358,0.537809147235219,0.128480081929641,2.72019266835087e-06,7.05365829328413e-05,"Zscan12","Yes","Zscan12"
"Clcc1",912.898221740071,0.32476688194305,0.0748566215963576,2.76899697348346e-06,7.17117970906302e-05,"Clcc1","Yes","Clcc1"
"Rap1gap",47.5461911870828,-1.26114235086442,0.319920131371799,2.7972988182302e-06,7.22629678400773e-05,"Rap1gap","Yes","Rap1gap"
"Raph1",385.606052282608,-0.696453144714297,0.169428947865908,2.79681029408224e-06,7.22629678400773e-05,"Raph1","Yes","Raph1"
"Fzd5",640.796475017651,-0.377532963262725,0.0871656183702622,2.80481734503403e-06,7.23663963870999e-05,"Fzd5","Yes","Fzd5"
"Col1a1",2218.2508972768,-0.93000631289938,0.232073210952486,2.81374241143337e-06,7.25058103992511e-05,"Col1a1","Yes","Col1a1"
